Review,date,Author,Location
"Go left and avoid the crowd / Surf sleep drink eat repeat
Experience the cosmopolitan line up and camaraderie",2019/04/16,674darrylt,"Southport, Australia"
There is a decent section of beach but the buildings adjacent to the beach are under attack from fairly big waves and I doubt they will last long because they are not using smart ways to protect the coastline. Putting rocks in front of a...More,2019/04/16,MasafiOne,"Al Ain, United Arab Emirates"
The beach is clean and being close to the reef one can see some fish and sea life. The sea is ideal for surfing.,2019/04/16,RHM63,"Oxfordshire, United Kingdom"
"A nice clean beach with a few restaurants all having sunbeds, free if you partake in food or drink. Waves can be pretty big at times.",2019/04/16,carterkenny,"Phuket, Thailand"
"the beach is beautiful. great surfing spot. but beware of undercurrent which can be strong.
only really downside is the close proximity of the main road.",2019/04/16,ThomasArabia,"Abu Dhabi, United Arab Emirates"
My advice... do it in the morning before it gets too hot. There are steps to be climbed and it could be a challenge. Having said that it is really worth it just to be impressed with the human ingenuity that constructed such a temple. The view from the top is impressive. The frescoes that remain on the rock walls are stunning (note no photography allowed). The area is overall impressively maintained right down to the removal of the plastic wrapping from your drink bottle at the checkpoint. Your bags are also checked for any other plastic materials that could contaminate the site. A model other countries could follow. The stair case is quite safe though I can see it can become busy. The signs for hornets is advisory and definitely not an issue for us. Get there when the park opens to avoid the crowds. Certainly worth the climb.,2019/04/16,MelbourneSeeTheWorld,"Galle, Sri Lanka"
"We were very excited to visit .. and more excited about the climb with my 6 year old. but trust me the journey was nice but the destination was not even worth the walk..some tips.. please start the trek latest 8 am in any season.. we started at 10.30 and were exhausted more coz of heat the climb. keep the ticket through the journey, water and some chocolates... there is nothing to buy till you get back on the ground. dont carry food or any thing in hand... keep it safely in bag .. as monkeys are a plenty and they eye every thing...mind the caps and hats as due to wind they can fly off...though climb is nice and adventurous the destination is just ok.. yes view is nice but its just like any other view from hill.. also we climbed it in summer so even the view was very drab... one can skip as this looks like a overhyped placeEntry charges for SAARC- around 2700 INR [ 6000-LKR]. not worth for sure",2019/04/16,Malini P,"Bangalore District, India"
The ancient city was one of our favorite stops on our trip. The climb to the top of the rock is long but worth it. The view is incredible once you reach the top.,2019/04/16,K8errm24,"Dubai, United Arab Emirates"
"What an experience it is to climb the rock. Our driver advised us to do it later in the afternoon to avoid the hottest part of the day but nevertheless, it was still nearly 30° when we climbed around 4pm. That said, it was worth it! It wasn’t as busy as some have said in previous reviews, although there were many people, we didn’t have to wait in long queues going up or down. Just the occasional pause to catch your breath and off you go again while others around you do the same.",2019/04/16,SteveUz,"London, United Kingdom"
"This area is fascinating. The museum gives a great insight into the achievements needed to creat a town on top of this rock thousands of years ago.It is hot and a big walk to the top. Smaller trip to the lions feet is more realistic. While there filming of an Asian version of the amazing race was being filmed, guess one of the choices would have been to run to the top! Was 34 and humid day we were there.Definitely worth a visit just to absorb the size of the area.",2019/04/16,Davbesfoodie,"Bairnsdale, Australia"
